cycle,time_s,current_A,voltage_V,temperature_C,capacity_Ah,SoC,SoP,SoH,SoC_CC,SoC_OCV
1,0.06400000000000361,-4.030268477538787,3.479393559379272,24.66647981177477,0.0,0.0,1.0,0.4178784353955677,1.0,0.0
3,0.04800000000000182,-3.361982908688226,3.001950570776504,29.3357231382262,0.0,0.0,0.909234820871844,1.0,0.5843349355294635,0.5220774328104553
5,0.07900000000000063,-3.384407789097242,3.0358785775794024,29.53875090986272,0.0,0.0,0.9256442436678544,1.0,0.0,0.5284822211545828
7,0.047000000000004594,-3.4122633601213583,3.0661450551857485,29.43699800283928,0.0,0.0,0.9425670656421268,1.0,0.0,0.5341958012100537
9,0.03200000000000358,-3.403625146732859,3.0637656606174013,29.461954848628785,0.0,0.0,0.9394513374931528,1.0,0.0,0.5337466289764485
11,0.017000000000003013,-3.3944513625869224,3.0593224041262927,29.38941890950972,0.0,0.0,0.9355604597548822,1.0,0.0,0.5329078494528077
13,0.03200000000000358,-3.401390462320561,3.0533599221041614,29.415840224980027,0.0,0.0,0.9356458844213464,1.0,0.0,0.5317822768372612
15,0.06300000000000239,-3.385806497377117,3.048720950345317,29.490153889013243,0.0,0.0,0.9299440722854876,1.0,0.0,0.5309065509974736
17,0.03200000000000003,-3.43387007729948,3.0824222303522406,29.64796594631828,0.0,0.0,0.9535709425593948,0.9955534965893604,0.0,0.5372685387978323
19,0.048000000000003595,-3.416543780338169,3.075795646323062,29.76331552449031,0.0,0.0,0.9467198635167816,0.9960348003466212,0.0,0.5360175997610057
21,0.03200000000000358,-3.4217714333372964,3.06985284508505,29.702670670276987,0.0,0.0,0.9463364657532656,0.9952939772308412,0.0,0.5348957424022223
23,0.03200000000000358,-3.4044907346629887,3.0612589860161115,29.7834851836312,0.0,0.0,0.9389214283149248,0.9958716002661476,0.0,0.5332734293463574
24,0.09500000000000375,-3.78388997609184,3.34157125606709,30.359497633866063,0.0,0.0,1.0,0.9275945724000522,0.0,0.2334996397316674
26,0.06300000000000594,-3.438089429131737,3.092615790717664,30.02385219282033,0.0,0.0,0.957899969228134,0.9889549251456063,0.0,0.5391928368266823
28,0.03200000000000758,-3.4334448239833244,3.082964486167869,30.15836836141169,0.0,0.0,0.9536205817619352,0.9895880714827616,0.0,0.5373709036006823
30,0.03200000000000358,-3.432001975216655,3.0770823404741723,30.039160328034484,0.0,0.0,0.9514011414785268,0.9895936461758968,0.0,0.5362604965438719
32,0.06300000000000239,-3.482051074636857,3.1099815648289453,29.82517287088846,0.0,0.0,0.9755959144066164,0.9837158316475414,0.0,0.5424710756062495
34,0.016000000000005343,-3.4790104488850004,3.1054460082871422,29.87755416633753,0.0,0.0,0.973322442457584,0.983579789182788,0.0,0.5416148720620263
36,0.03200000000000358,-3.461446831236046,3.098521142673477,30.07904136560168,0.0,0.0,0.9662492063806304,0.9834075756005132,0.0,0.5403076246653633
38,0.06400000000000006,-3.450379445041623,3.089171188226161,30.310419026910747,0.0,0.0,0.9602534027090408,0.98369092393951,0.0,0.538542579061294
40,0.04800000000000182,-3.646980102654795,3.235784344365443,24.439197161110567,0.0,0.0,1.0,0.980073364835612,0.0,0.566219602323869
44,0.03200000000000358,-3.398836643486512,3.0683685778510936,25.54439244929604,0.0,0.0,0.9395390592903504,1.0,0.0,0.5346155485925816
48,0.016000000000003567,-3.4078891045691866,3.062344528295997,25.97689202836182,0.0,0.0,0.9401919416591884,1.0,0.0,0.533478353513629
52,0.06300000000000239,-3.464130250924988,3.0904138909445984,25.563969403200467,0.0,0.0,0.9644681304054036,1.0,0.0,0.5387771713240372
56,0.03200000000000358,-3.493557124198189,3.1140130371184864,25.31121061414239,0.0,0.0,0.9800885072676871,0.997747348381827,0.0,0.5432321202169669
60,0.047000000000004594,-3.4951011322233136,3.108464373403045,25.20694484088848,0.0,0.0,0.9787745361222356,0.9970856499944188,0.0,0.5421846665042688
64,0.047000000000004594,-3.4904911773797043,3.099532736693632,25.217162335590515,0.0,0.0,0.974674925353936,0.997287758633556,0.0,0.5404985891870022
68,0.03200000000000358,-3.533181015655141,3.133150786659082,25.108379673971143,0.0,0.0,0.9972962953701656,0.9904811858173248,0.0,0.5468448651654844
72,0.03200000000000358,-3.513207367229806,3.119641559381448,25.02143058992403,0.0,0.0,0.9873826765347012,0.9914603375044864,0.0,0.5442946492949026
76,0.06300000000000949,-3.5054603250839507,3.117821882492223,25.01523750310712,0.0,0.0,0.9846307125905444,0.9905498142206464,0.0,0.5439511382422818
80,0.04800000000000182,-3.549071976059502,3.148580175410883,25.04044190531913,0.0,0.0,1.0,0.9845419453105416,0.0,0.5497575611516838
84,0.09500000000000597,-3.5621332354558053,3.158092598219353,25.62608734826874,0.0,0.0,1.0,0.9869232479295552,0.0,0.5515532768588293
85,0.06300000000000239,-4.4796596195981975,3.819395599301223,23.89194444967765,0.0,0.0,1.0,0.0023229676760299,0.0,0.6489162008207472
88,0.03200000000000358,-3.44733089940877,3.0915429116168727,25.793049074265745,0.0,0.0,0.960141568113964,0.9928547596582796,0.0,0.5389903031618157
92,0.09400000000000475,-3.498723199877141,3.1353563535730373,25.96183714424674,0.0,0.0,0.9882652264980344,0.9862677232302128,0.0,0.5472612229357702
96,0.03200000000000358,-3.536407100583495,3.161072146515808,25.69622979562834,0.0,0.0,1.0,0.9803585656602102,0.0,0.5521157436229619
100,0.03200000000000358,-3.554660481050277,3.1817353485221376,25.267825631935544,0.0,0.0,1.0,0.9750038778064284,0.0,0.5560164571582819
104,0.06300000000000594,-3.559444964364823,3.188736239230124,25.28172823380552,0.0,0.0,1.0,0.9724570194556584,0.0,0.557338056256794
108,0.03200000000000358,-3.561202687791756,3.1995494512602285,25.659656843122978,0.0,0.0,1.0,0.9691956552718848,0.0,0.5593793295557334
112,0.09400000000000475,-3.5948737369966377,3.2162013536262384,25.42163179236456,0.0,0.0,1.0,0.9640849586810324,0.0,0.5625228065893522
116,0.09400000000000475,-3.6018235936716247,3.223928529991111,25.27645199062825,0.0,0.0,1.0,0.9609119366292516,0.0,0.5639815108805375
120,0.03200000000000358,-3.629064335057617,3.239300973000498,25.10732839202505,0.0,0.0,1.0,0.9556921024921984,0.0,0.5668834568857734
124,0.016000000000003567,-3.6131518500912776,3.2364581942530544,25.399493733764,0.0,0.0,1.0,0.954996557577938,0.0,0.5663468089095944
128,0.0940000000000012,-3.629450443754744,3.24280663963839,25.98281406831714,0.0,0.0,1.0,0.9522964325919104,0.0,0.5675452420873388
132,0.0940000000000012,-3.6549536807328544,3.247480792255816,26.00562783484036,0.0,0.0,1.0,0.9495196205405853,0.0,0.5684276092236306
135,0.04800000000000182,-3.669812076004864,3.2325525653503906,24.011556029781048,0.0,0.0,1.0,0.9554549575768724,0.0,0.5656095204912801
