cycle,time_s,current_A,voltage_V,temperature_C,capacity_Ah,SoC,SoH,SoP,cycle_capacity_Ah
2,0.0,-0.004901589207462691,4.191491807505295,24.330033885570543,1.8564874208181574,0.9282437104090787,0.9282437104090787,-0.002910193798926949,1.8564874208181574
4,0.0,2.125117981080765e-05,4.189773213846608,24.697751935729325,1.846327249719927,0.9231636248599635,0.9231636248599635,1.2585463107305595e-05,1.846327249719927
6,0.0,-0.0017540301662326099,4.188186735991303,24.734266163954402,1.8353491942234077,0.9176745971117038,0.9176745971117038,-0.0010365055928303127,1.8353491942234077
8,0.0,-0.0027750361294468047,4.188461118855572,24.65423646922845,1.8352625275821128,0.9176312637910564,0.9176312637910564,-0.0016399867509800535,1.8352625275821128
10,0.0,-0.007980866803888688,4.188298524761055,24.524796959348127,1.8346455082120419,0.9173227541060209,0.9173227541060209,-0.004718099048683817,1.8346455082120419
12,0.0,-0.005055568294146982,4.188815807948604,24.522297376927863,1.8356616600675495,0.9178308300337747,0.9178308300337747,-0.002989952373263968,1.8356616600675495
14,0.0,-0.002633435144531069,4.18839163793879,24.58487828579781,1.8351461429226603,0.9175730714613302,0.9175730714613302,-0.001557438536045102,1.8351461429226603
16,0.0,0.002227616056915605,4.188927891511958,24.713628799279793,1.8257567905665537,0.9128783952832769,0.9128783952832769,0.0013127424118829561,1.8257567905665537
18,0.0,-0.0021960382833998496,4.189029250882121,24.635211633324694,1.8247738529891333,0.9123869264945667,0.9123869264945667,-0.0012946010909159246,1.8247738529891333
20,0.0,-0.005976012336206865,4.189223427076418,24.572057664095553,1.824613268496936,0.912306634248468,0.912306634248468,-0.003524838149221408,1.824613268496936
22,0.0,-0.003522581481040198,4.188916055911241,24.43671599422777,1.8246195526864504,0.9123097763432252,0.9123097763432252,-0.0020786958067829505,1.8246195526864504
25,0.0,-0.0007535800248102744,4.189876247266316,24.7443285138996,1.8142019357673917,0.9071009678836959,0.9071009678836959,-0.00044348604086083467,1.8142019357673917
27,0.0,0.0018583785527610795,4.189286794768804,24.736639099532358,1.8137521577549054,0.9068760788774527,0.9068760788774527,0.0010940277371753514,1.8137521577549054
29,0.0,-0.001041498744767703,4.188837765892728,24.44798340505406,1.8134404914735822,0.9067202457367911,0.9067202457367911,-0.0006134767825256675,1.8134404914735822
31,0.0,-0.002412047466484661,4.189110301768517,24.47211924021532,1.8025980036306504,0.9012990018153252,0.9012990018153252,-0.0014180537386358708,1.8025980036306504
33,0.0,0.0025385113330863318,4.18921207304098,24.325417128823222,1.80210690024615,0.901053450123075,0.901053450123075,0.0014929812053672967,1.80210690024615
35,0.0,-0.00012207956710486506,4.188899969428112,24.3625933569109,1.802579500826209,0.9012897504131046,0.9012897504131046,-7.181600645261739e-05,1.802579500826209
37,0.0,-0.004310745751772861,4.188779799856791,24.382419922756025,1.8030683142834096,0.9015341571417048,0.9015341571417048,-0.00253669028960228,1.8030683142834096
39,0.0,-0.0013923121351757206,4.189272591516219,24.361449262276754,1.8027776247196041,0.9013888123598021,0.9013888123598021,-0.0008196965559558714,1.8027776247196041
42,0.0,-0.00360426188437657,4.187614060563439,24.558714742953534,1.8470259949329193,0.9235129974664597,0.9235129974664597,-0.002124591540051995,1.8470259949329193
46,0.0,-0.0033381888932268954,4.1876287811083985,24.92210633449132,1.847417311283644,0.923708655641822,0.923708655641822,-0.001967464160580661,1.847417311283644
50,0.0,-0.0014962307447162302,4.187447226312926,24.56596639952811,1.8361774213478947,0.9180887106739474,0.9180887106739474,-0.0008807632961554709,1.8361774213478947
54,0.0,-0.003802729417036472,4.187344026387161,24.21658146702539,1.8257807475776242,0.9128903737888121,0.9128903737888121,-0.0022355382121804035,1.8257807475776242
58,0.0,0.0013678911872666004,4.187438187636325,24.054990657817566,1.8251136435078368,0.9125568217539184,0.9125568217539184,0.0008052553575014905,1.8251136435078368
62,0.0,-0.004545201520133653,4.18774138117799,24.028778234327,1.8255815042203762,0.9127907521101881,0.9127907521101881,-0.0026743286025716,1.8255815042203762
66,0.0,-0.0037058225959767316,4.188261122540052,23.93841461307264,1.8140311275083907,0.9070155637541953,0.9070155637541953,-0.0021773994621080055,1.8140311275083907
70,0.0,-0.0010441513886458214,4.187338767288234,23.811534187517502,1.8147691941158939,0.9073845970579469,0.9073845970579469,-0.0006141462875032334,1.8147691941158939
74,0.0,-0.0003129824916891624,4.187560306288175,23.754765330883426,1.813969388710352,0.906984694355176,0.906984694355176,-0.00018424156737494653,1.813969388710352
78,0.0,0.001590776584272406,4.18805176248713,23.79768342466196,1.802765665167823,0.9013828325839115,0.9013828325839115,0.0009350687517837002,1.802765665167823
82,0.0,-0.000675583650671011,4.187667484260542,23.801300986918452,1.804077040117352,0.902038520058676,0.902038520058676,-0.00039744420307957936,1.804077040117352
86,0.0,-5.4218711933377765e-05,4.2010701773378685,23.78129749955371,1.8518025516704486,0.9259012758352243,0.9259012758352243,-3.2015233571471386e-05,1.8518025516704486
90,0.0,-0.0008182048183192659,4.1996223345495824,24.204043411413554,1.8307038456739428,0.9153519228369714,0.9153519228369714,-0.00048235203335686444,1.8307038456739428
94,0.0,-0.001754467919353558,4.199853323702163,24.0063252333915,1.8199041089501267,0.9099520544750633,0.9099520544750633,-0.0010343918103621684,1.8199041089501267
98,0.0,-0.0017550171720923163,4.199103467081427,23.53999092882516,1.8093079637028517,0.9046539818514259,0.9046539818514259,-0.0010351202349844083,1.8093079637028517
102,0.0,-0.0018238289497230027,4.199998536865001,23.566095747572557,1.80460990458052,0.90230495229026,0.90230495229026,-0.001076581454641977,1.80460990458052
106,0.0,-0.00023676989307990542,4.19967522099872,23.978912001702884,1.7993770651972192,0.8996885325986096,0.8996885325986096,-0.00013966766976249913,1.7993770651972192
110,0.0,8.178123272756054e-05,4.1991847248803165,23.757591205264927,1.7884432335370462,0.8942216167685231,0.8942216167685231,4.824508891766751e-05,1.7884432335370462
114,0.0,-0.0007122255566129255,4.200012480335,23.51454265913581,1.7829230484252723,0.8914615242126361,0.8914615242126361,-0.00042048681025601997,1.7829230484252723
118,0.0,-0.0013924037619404293,4.1992373656547874,23.282413018265935,1.7730337158018288,0.8865168579009144,0.8865168579009144,-0.0008220789983299308,1.7730337158018288
122,0.0,0.0021374370347549054,4.1993957811187075,23.439367870877128,1.773037755078937,0.8865188775394685,0.8865188775394685,0.001263052031942072,1.773037755078937
126,0.0,-0.002221770796550931,4.1995786980260705,24.020578317587123,1.7678721106662054,0.8839360553331027,0.8839360553331027,-0.001311839465412073,1.7678721106662054
130,0.0,0.0018244735178706453,4.199546957512695,24.256086319320033,1.7623150704093087,0.8811575352046543,0.8811575352046543,0.0010772349988827001,1.7623150704093087
134,0.0,-0.0011914767893729942,4.194091469340824,23.99270220171187,1.7676172924938447,0.8838086462469223,0.8838086462469223,-0.0007020555842667492,1.7676172924938447
136,0.0,-0.00045823213989218625,4.200715235801255,23.828786239535976,1.762668359743147,0.8813341798715735,0.8813341798715735,-0.00027085046392438914,1.762668359743147
140,0.0,-0.0018000903475638933,4.1990980807180325,23.350512970732126,1.7517304870664143,0.8758652435332072,0.8758652435332072,-0.0010643100609511072,1.7517304870664143
